RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
11.67	10.53	6.99
21.46	19.97	9.13
11.10	9.44	9.04
13.83	12.32	3.12
20.68	17.40	4.80
21.36	19.40	5.88
17.96	15.99	6.05
25.42	25.20	10.57
8.09	6.99	4.26
17.26	16.50	5.26
34.94	31.52	16.16
30.19	28.70	18.16
22.14	20.28	9.64
27.96	25.76	14.57
21.16	16.69	10.26
18.84	15.18	9.19
8.31	5.69	4.72
15.75	13.68	9.16
16.82	14.77	5.80
18.72	17.03	7.95
30.65	30.05	10.70
29.21	28.06	11.02
5.39	2.16	1.44
28.18	25.46	17.15
14.15	9.84	8.98
14.64	9.56	9.21
31.20	28.14	17.40
9.55	6.15	7.31
21.22	19.62	8.55
16.91	14.49	7.77
16.07	12.83	10.80
13.50	10.50	10.13
23.59	21.64	9.23
19.49	18.39	8.89
34.81	33.78	18.78
17.83	14.18	10.87
31.63	28.81	12.66
20.05	17.58	7.55
17.59	14.21	6.55
25.16	23.33	10.69
17.41	14.17	13.50
17.96	16.67	11.69
24.46	22.26	13.33
14.18	9.99	9.21
11.03	7.22	7.10
20.96	17.40	14.64
21.01	16.89	12.00
36.10	30.39	17.74
18.66	13.63	12.19
12.05	8.98	6.92
18.23	15.47	10.03
8.47	4.84	5.29
18.25	16.02	7.27
12.79	10.05	8.53
28.41	28.92	12.36
22.14	21.38	8.03
13.07	9.99	5.08
13.67	11.93	7.44
21.00	17.34	13.34
31.33	27.50	22.21
19.47	16.97	9.58
24.11	21.89	8.71
19.61	15.78	14.99
23.17	19.64	10.70
39.00	36.08	24.32
31.86	28.56	19.53
24.67	21.21	11.94
17.37	14.32	8.69
20.13	17.79	5.76
19.94	17.54	5.13
25.35	23.74	9.39
20.93	18.98	13.10
15.29	13.59	8.03
35.53	31.74	14.95
23.59	20.34	12.92
