RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
13.76	12.32	3.74
14.49	14.88	3.50
20.20	21.78	6.08
19.09	19.78	2.70
22.48	22.68	6.72
18.05	20.70	7.97
9.84	9.90	4.80
22.88	21.99	7.38
16.06	17.27	5.05
19.52	20.22	6.28
20.26	17.42	13.47
19.92	19.12	11.30
22.45	22.90	10.83
22.08	21.16	6.31
17.80	17.36	8.23
15.78	16.38	4.55
21.08	21.22	11.15
14.80	16.16	8.68
24.58	27.49	9.16
14.25	17.14	1.96
19.75	21.95	8.81
23.72	25.30	8.46
36.64	38.98	12.33
19.49	18.86	7.57
33.09	34.74	15.83
18.45	19.55	8.37
22.30	20.88	10.34
30.18	28.45	11.07
30.80	30.47	9.16
18.89	15.90	10.51
18.41	16.71	9.42
10.19	11.02	1.56
10.06	7.99	1.71
19.49	17.01	2.54
21.51	18.67	10.97
21.44	17.08	8.31
27.26	23.33	12.16
16.53	13.60	3.93
16.25	14.17	5.29
17.13	15.19	6.47
18.26	18.55	7.36
21.68	22.34	8.71
17.37	13.73	5.19
24.68	20.82	4.59
9.48	6.02	3.07
16.62	14.59	5.94
15.94	12.00	4.59
19.17	14.69	3.59
20.01	15.75	7.09
17.19	15.26	4.03
20.73	19.18	6.67
10.84	9.25	2.00
16.63	15.02	4.21
45.99	47.09	13.40
17.60	13.85	6.06
16.56	12.78	0.72
12.26	9.41	4.42
17.08	14.53	4.14
19.99	17.34	6.00
15.10	11.88	3.40
20.33	15.88	7.71
16.61	13.73	4.79
33.73	33.73	9.39
8.16	5.37	0.83
9.47	8.61	3.06
20.19	18.84	8.87
26.30	24.97	11.84
16.69	16.52	3.27
28.01	28.69	10.84
30.21	30.68	14.62
19.68	19.70	9.00
18.87	18.63	6.99
26.37	25.53	10.75
22.14	21.47	7.38
15.78	13.75	4.29
11.52	10.45	5.97
10.62	8.37	1.99
14.26	13.16	2.92
25.47	24.41	9.95
14.74	13.26	5.00
14.02	12.59	5.97
16.49	15.02	5.57
23.36	21.90	8.58
21.74	18.90	7.80
35.49	32.12	11.32
15.15	10.49	5.82
8.05	4.63	3.19
14.51	11.36	7.14
14.76	13.33	3.16
23.08	23.50	8.05
18.38	17.04	8.73
14.75	14.24	5.74
15.52	15.78	5.14
27.49	26.24	9.15
24.81	23.95	9.08
30.78	29.32	9.70
34.36	29.93	13.31
33.12	31.51	16.28
27.84	25.72	10.82
18.90	20.73	9.21
18.08	18.31	6.76
11.65	12.47	2.94
20.47	21.26	9.06
21.94	23.28	7.53
24.10	24.74	14.66
17.76	17.39	8.98
25.41	26.10	11.55
15.19	13.88	12.64
26.94	29.02	12.62
14.24	16.07	9.30
19.28	23.02	8.51
19.65	22.62	9.42
20.88	21.91	7.92
12.64	13.92	4.54
22.42	21.17	4.54
20.23	20.65	8.51
