RE_DFT (kcal/mol)	RE_ANI (kcal/mol)	RE_PM7 (kcal/mol)
37.25	54.09	15.03
42.02	60.66	14.60
47.55	71.48	16.90
41.76	65.26	16.26
41.39	59.86	15.61
31.88	51.37	10.21
44.24	65.74	17.51
33.79	57.54	12.43
29.54	55.38	9.51
38.71	67.10	14.73
40.33	70.37	13.09
43.15	72.96	13.97
50.01	81.76	17.87
45.78	75.14	16.41
35.60	64.59	12.27
37.13	69.12	10.23
37.67	66.79	11.11
36.06	58.50	13.40
35.25	60.40	17.56
41.51	64.70	14.68
48.25	69.07	16.70
27.60	48.42	8.05
38.54	64.26	11.20
31.63	56.37	16.15
32.16	52.33	15.88
23.14	42.27	6.18
39.98	55.94	10.38
31.00	46.93	6.97
43.54	64.90	13.71
28.90	40.50	9.46
36.71	55.34	14.52
36.02	52.19	11.96
36.95	53.86	9.83
35.21	51.89	6.68
37.51	56.72	17.70
34.61	42.73	11.91
41.29	50.81	14.90
25.98	37.19	11.28
